2004%04%22%Thursday%04%12%13%20%39%42%%0%0.00%%3,981.00%57.00%3.00%20040422%A
2004%04%19%Monday%18%19%23%24%26%46%%0%0.00%%1,973.00%63.00%3.00%20040419%A
2004%04%15%Thursday%11%19%21%27%34%40%%0%0.00%%2,023.00%55.00%3.00%20040415%U
2004%04%12%Monday%17%21%27%38%40%43%%0%0.00%%2,980.00%68.00%3.00%20040412%A
2004%04%08%Thursday%18%20%21%30%39%45%%0%0.00%%3,639.00%69.00%3.00%20040408%A
2004%04%05%Monday%06%08%21%23%34%44%%0%0.00%%4,541.00%57.00%3.00%20040405%A
2004%04%01%Thursday%08%10%13%17%22%46%%0%0.00%%2,382.00%48.00%3.00%20040401%A
2004%03%29%Monday%09%19%22%31%37%45%%0%0.00%%2,653.00%60.00%3.00%20040330%U
2004%03%25%Thursday%06%11%15%26%30%42%%0%0.00%%2,159.00%50.00%3.00%20040325%A
2004%03%22%Monday%06%09%12%20%34%40%%0%0.00%%2,378.00%48.00%3.00%20040322%A
2004%03%18%Thursday%16%18%22%28%41%46%%0%0.00%%2,921.00%63.00%3.00%20040318%A
2004%03%15%Monday%13%21%26%27%34%43%%0%0.00%%3,571.00%56.00%3.00%20040315%A
2004%03%11%Thursday%03%26%28%30%31%48%%0%0.00%%3,194.00%63.00%3.00%20040311%A
2004%03%08%Monday%11%20%31%33%44%45%%0%0.00%%4,213.00%65.00%3.00%20040308%A
2004%03%04%Thursday%02%16%28%33%41%48%%0%0.00%%4,110.00%74.00%3.00%20040304%A
2004%03%01%Monday%10%15%20%22%23%47%%0%0.00%%3,176.00%62.00%3.00%20040301%A
2004%02%26%Thursday%01%06%29%34%43%44%%0%0.00%%4,165.00%71.00%3.00%20040226%A
2004%02%23%Monday%05%06%14%38%43%44%%0%0.00%%5,733.00%63.00%3.00%20040223%A
2004%02%19%Thursday%06%08%26%33%35%45%%0%0.00%%3,430.00%66.00%3.00%20040219%A
2004%02%16%Monday%07%23%32%35%38%47%%0%0.00%%3,739.00%64.00%3.00%20040216%A
2004%02%12%Thursday%06%22%33%44%45%48%%0%0.00%%6,004.00%69.00%3.00%20040212%A
2004%02%09%Monday%03%09%18%31%41%44%%0%0.00%%3,842.00%62.00%3.00%20040209%A
2004%02%05%Thursday%10%22%25%38%39%45%%0%0.00%%3,145.00%75.00%3.00%20040205%A
2004%02%02%Monday%11%12%22%27%31%32%%0%0.00%%1,925.00%43.00%3.00%20040202%A
2004%01%29%Thursday%12%17%21%23%43%49%%0%0.00%%3,282.00%67.00%3.00%20040129%A
2004%01%26%Monday%10%31%34%42%44%47%%0%0.00%%6,252.00%83.00%3.00%20040126%A
2004%01%22%Thursday%16%18%22%32%36%48%%0%0.00%%7,788.00%74.00%3.00%20040122%A
2004%01%19%Monday%05%09%11%20%41%45%%0%0.00%%2,968.00%53.00%3.00%20040119%A
2004%01%15%Thursday%02%05%11%37%46%48%%0%0.00%%3,539.00%66.00%3.00%20040115%A
2004%01%12%Monday%01%02%03%08%35%43%%0%0.00%%4,839.00%44.00%3.00%20040112%A
2004%01%08%Thursday%06%07%13%24%26%31%%0%0.00%%1,011.00%32.00%3.00%20040108%A
2004%01%05%Monday%11%28%30%40%45%46%%0%0.00%%5,782.00%69.00%3.00%20040105%A
2004%01%01%Thursday%08%23%38%44%47%48%%0%0.00%%3,887.00%83.00%3.00%20040101%U
2003%12%29%Monday%07%11%29%31%34%41%%0%0.00%%2,701.00%52.00%3.00%20031229%A
2003%12%26%Thursday%09%11%33%34%37%49%%1%10,000,000.00%%4,328.00%68.00%3.00%20031226%A
2003%12%22%Monday%01%16%18%20%38%47%%0%0.00%%3,266.00%73.00%3.00%20031222%A
2003%12%18%Thursday%04%05%19%20%37%48%%0%0.00%%5,433.00%62.00%3.00%20031218%A
2003%12%15%Monday%04%11%37%39%40%43%%0%0.00%%4,957.00%67.00%3.00%20031215%A
2003%12%11%Thursday%01%03%11%22%24%41%%0%0.00%%2,106.00%43.00%3.00%20031211%A
2003%12%08%Monday%06%25%34%35%39%40%%0%0.00%%4,187.00%76.00%3.00%20031208%A
2003%12%04%Thursday%06%13%18%31%43%46%%0%0.00%%3,640.00%62.00%3.00%20031204%A
2003%12%01%Monday%01%10%16%31%43%48%%0%0.00%%5,322.00%71.00%3.00%20031201%A
2003%11%27%Thursday%07%13%16%24%31%45%%0%0.00%%3,111.00%53.00%3.00%20031127%A
2003%11%24%Monday%10%12%13%19%39%43%%0%0.00%%2,645.00%58.00%3.00%20031124%A
2003%11%20%Thursday%01%08%11%19%37%46%%0%0.00%%2,318.00%50.00%3.00%20031120%A
2003%11%17%Monday%12%30%32%42%46%49%%0%0.00%%3,075.00%74.00%3.00%20031117%A
2003%11%13%Thursday%12%16%21%29%31%49%%0%0.00%%2,745.00%60.00%3.00%20031113%A
2003%11%10%Monday%13%27%40%45%46%47%%0%0.00%%4,533.00%78.00%3.00%20031110%A
2003%11%06%Thursday%11%12%17%28%31%39%%0%0.00%%4,824.00%47.00%3.00%20031106%A
2003%11%03%Monday%16%17%27%38%44%46%%1%3,000,000.00%%3,931.00%73.00%3.00%20031103%A
2003%10%30%Thursday%05%13%14%21%22%35%%0%0.00%%2,161.00%46.00%3.00%20031030%A
2003%10%27%Monday%11%24%42%46%47%48%%0%0.00%%4,821.00%95.00%3.00%20031027%U
